confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.1,0.5,0.8091047552549803,0.3920157068062827,0.8891637803067788,0.5441332323996972,4584
0.1,0.55,0.8085825261631161,0.34319863403528744,0.8951014349332014,0.4961601755348327,5271
0.15,0.5,0.8084096269856291,0.42758291577189217,0.8866897575457694,0.5769478428847392,4191
0.15,0.55,0.80797601517306,0.37669659636667363,0.892627412172192,0.5298091042584434,4789
0.1,0.6,0.8071979262234515,0.2972884678209735,0.9005442850074221,0.4470097015841827,6122
0.15,0.6,0.8063033594330969,0.328804347826087,0.8980702622464126,0.48136851876408965,5520
0.1,0.45,0.8059370401453545,0.432,0.8817417120237506,0.579889358932639,4125
0.15,0.45,0.8051770929870512,0.46701708278580817,0.8792676892627412,0.6100240302094062,3805
0.2,0.5,0.8038340024113605,0.4577972207925888,0.880257298367145,0.6023362112747588,3886
0.2,0.55,0.803570529884448,0.40501468262932006,0.8871845620979713,0.5561414392059553,4427
0.2,0.6,0.8020719766272784,0.3559020923805764,0.8921326076199901,0.5088189643008325,5066
0.25,0.55,0.8014378301976857,0.43102198598695335,0.8827313211281543,0.5792207792207792,4139
0.25,0.5,0.8014185348639247,0.4822984749455338,0.8762988619495299,0.622167574213947,3672
0.1,0.4,0.8011076388944612,0.4610559330893884,0.8728352300841168,0.6033863519753719,3826
0.15,0.4,0.800306722527101,0.4950745848578666,0.8703612073231074,0.6311445999282382,3553
0.25,0.6,0.8001617619456971,0.38008474576271184,0.8876793666501732,0.5322652425456164,4720
0.3,0.55,0.7997614522060845,0.4545222278998467,0.880257298367145,0.5994945240101095,3914
0.3,0.5,0.7996151253566802,0.5052932761087268,0.8738248391885205,0.640319071791153,3495
0.2,0.45,0.7996027349235673,0.4970380818053597,0.871845620979713,0.6331297161336686,3545
0.35,0.5,0.7988083783182451,0.5269299820466786,0.8713508164275111,0.6567219839641991,3342
0.25,0.45,0.7984696545602981,0.5213776722090261,0.8688767936665017,0.6516979031360177,3368
0.35,0.55,0.7983250004684532,0.47585836909871243,0.8777832756061356,0.6171508088363193,3728
0.3,0.6,0.7982838538041668,0.40375056484410304,0.88421573478476,0.5543663719559486,4426
0.3,0.45,0.7968209138987221,0.5432558139534883,0.8668975754576942,0.6679374761723217,3225
0.35,0.6,0.7966823192662617,0.4243507267095544,0.8812469074715488,0.572853007397877,4197
0.4,0.5,0.7958418420068177,0.5488415779586725,0.867392380009896,0.6722914669223393,3194
0.35,0.45,0.7956986453373387,0.5665152498377677,0.863928748144483,0.6843033509700177,3082
0.4,0.6,0.7955003266047271,0.44527923866766844,0.8797624938149431,0.5912869970069837,3993
0.4,0.55,0.7954752122229893,0.49901102006216447,0.8738248391885205,0.635251798561151,3539
0.2,0.4,0.7953489410309645,0.5236668663870582,0.8649183572488867,0.6523605150214593,3338
0.4,0.45,0.7938917445634164,0.5865319865319866,0.8619495299356754,0.6980565017030655,2970
0.25,0.4,0.7933987561924796,0.547626532536938,0.8619495299356754,0.6697424067666282,3181
0.3,0.4,0.7917074715386181,0.570022958346999,0.8599703117268679,0.6856015779092702,3049
0.5,0.5,0.7916657986060895,0.5910326086956522,0.8609599208312716,0.7009063444108762,2944
0.5,0.55,0.7908624505790302,0.5443234836702955,0.8659079663532905,0.6684491978609626,3215
0.35,0.4,0.7905524684712432,0.5910641200545702,0.8574962889658585,0.6997779123763376,2932
0.5,0.6,0.7904511639878866,0.4917620776319464,0.8713508164275111,0.6287040342734738,3581
0.5,0.45,0.7904501831578818,0.6233345336694275,0.8565066798614547,0.7215506461025427,2777
0.1,0.3,0.7903630114733226,0.501453488372093,0.8535378525482434,0.6317524262955503,3440
0.15,0.3,0.7897128814357888,0.5341614906832298,0.851063829787234,0.6563632894485785,3220
0.4,0.4,0.7890947218748418,0.6110914871070293,0.8560118753092528,0.7131079967023908,2831
0.2,0.3,0.7857060061408081,0.5607997377908882,0.8466105888174171,0.6746845425867508,3051
0.5,0.4,0.7850430066545715,0.6445195195195195,0.8495794161306284,0.7329775880469585,2664
0.25,0.3,0.784952336645492,0.5831909805261359,0.8446313706086096,0.6899757477768794,2927
0.3,0.3,0.7840851162495018,0.6027591085956845,0.8431469569520039,0.7029702970297029,2827
0.35,0.3,0.782621674898753,0.6218887262079063,0.8406729341909945,0.7149168945928885,2732
0.4,0.3,0.7803244801498602,0.637768563889936,0.8372093023255814,0.72400513478819,2653
0.5,0.3,0.7772265699367742,0.6681222707423581,0.8327560613557645,0.741409691629956,2519
