confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.01,0.45,0.7798657112875831,0.04645521414784287,0.8812469074715488,0.08825788547783642,38338
0.01,0.5,0.7797834724337098,0.04389851967276977,0.8921326076199901,0.08367948390689901,41072
0.05,0.45,0.7797631309843372,0.17656405163853028,0.8797624938149431,0.29410305185675295,10070
0.05,0.5,0.7796228774103968,0.15979381443298968,0.8896585848589807,0.2709259398779477,11252
0.01,0.4,0.7792253872740925,0.04869565217391304,0.8728352300841168,0.09224494064738796,36225
0.05,0.4,0.7790202444238649,0.1926826596560412,0.8703612073231074,0.31551569506726457,9129
0.01,0.55,0.7773812010184634,0.039835557412007824,0.896585848589807,0.0762818893660015,45487
0.05,0.55,0.7772352665280721,0.14158113296246963,0.8941118258287977,0.2444534632034632,12763
0.1,0.5,0.7765809382256501,0.2685731578151006,0.8782780801583374,0.4113557358053302,6609
0.1,0.45,0.7765318834477233,0.2925691436187937,0.8688767936665017,0.43774149320702976,6002
0.1,0.4,0.7745240049795813,0.31374321880650996,0.8584858980702622,0.4595417825453582,5530
0.1,0.55,0.7741821205338304,0.23858004018754186,0.8812469074715488,0.3755007379295805,7465
0.15,0.5,0.7719959599679787,0.3557320301364284,0.8644235526966848,0.5040392383150605,4911
0.01,0.3,0.7717977110127474,0.05284677816035416,0.8505690252350322,0.09951083967698052,32528
0.05,0.3,0.7715615001524451,0.21794383021985003,0.8485898070262247,0.34681496461071787,7869
0.15,0.45,0.7715253631030349,0.3831485587583149,0.8550222662048491,0.529168580615526,4510
0.15,0.55,0.7712267236292591,0.3211612196457915,0.8703612073231074,0.4691917844758602,5477
0.15,0.4,0.770683831458803,0.409036576619651,0.8466105888174171,0.5515796260477112,4183
0.01,0.6,0.7698046413558386,0.03369043221278168,0.9025235032162295,0.06495610833140436,54140
0.05,0.6,0.7695877226211396,0.12228132785670999,0.8985650667986146,0.21526789947842578,14851
0.1,0.3,0.7684854118790503,0.34555080431683977,0.8396833250865908,0.48961338718984426,4911
